item_index,stock_code,description,invoice_count,total_quantity,total_revenue
94,22385,JUMBO BAG SPACEBOY DESIGN,1248,17227,32749.37
95,84378,SET OF 3 HEART COOKIE CUTTERS,1248,11784,15596.13
96,23203,JUMBO BAG VINTAGE DOILY,1231,20503,42067.78
97,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,1221,8341,20683.92
98,22624,IVORY KITCHEN SCALES,1219,3258,28227.77
99,20718,RED RETROSPOT SHOPPER BAG,1213,13489,17740.0
100,22865,HAND WARMER OWL DESIGN,1212,15557,33575.51
101,47591D,PINK FAIRY CAKE CHILDRENS APRON,1212,9810,19160.47
102,22558,CLOTHES PEGS RETROSPOT PACK 24,1202,14281,20163.07
103,82600,NO SINGING METAL SIGN,1201,12908,26212.86
104,22961,JAM MAKING SET PRINTED,1200,18086,28242.89
105,22556,PLASTERS IN TIN CIRCUS PARADE,1196,13797,22694.129999999997
106,82484,WOOD BLACK BOARD ANT WHITE FINISH,1176,11054,62842.02
107,82583,HOT BATHS METAL SIGN,1176,13090,28496.81
108,84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,1167,11151,43566.340000000004
109,21210,SET OF 72 RETROSPOT PAPER  DOILIES,1161,15249,21957.26
110,22328,ROUND SNACK BOXES SET OF 4 FRUITS,1159,14636,40508.26
111,22960,JAM MAKING SET WITH JARS,1159,9302,39694.56
112,22367,CHILDRENS APRON SPACEBOY DESIGN,1156,8170,16094.06
113,21524,DOORMAT SPOTTY HOME SWEET HOME,1150,5342,36667.33
114,15056N,EDWARDIAN PARASOL NATURAL,1149,11550,60687.03
115,22219,LOVEBIRD HANGING DECORATION WHITE,1149,9934,9427.66
116,20971,PINK BLUE FELT CRAFT TRINKET BOX,1148,22629,29027.46
117,23298,SPOTTY BUNTING,1146,8473,43182.83
118,84029E,RED WOOLLY HOTTIE WHITE HEART.,1145,11830,47737.380000000005
119,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,1145,17884,17948.95
120,22952,60 CAKE CASES VINTAGE CHRISTMAS,1144,33786,19812.43
121,79321,CHILLI LIGHTS,1135,16840,85489.91
122,21174,POTTERING IN THE SHED METAL SIGN,1135,9813,19864.32
123,22147,FELTCRAFT BUTTERFLY HEARTS,1132,13175,18425.55
124,22557,PLASTERS IN TIN VINTAGE PAISLEY,1126,10620,17834.26
125,82483,WOOD 2 DRAWER CABINET WHITE FINISH,1123,5103,30213.89
126,21889,WOODEN BOX OF DOMINOES,1123,13231,17636.32
127,21523,DOORMAT FANCY FONT HOME SWEET HOME,1122,7050,47225.46
128,84692,BOX OF 24 COCKTAIL PARASOLS,1122,19467,9530.48
129,22352,LUNCH BOX WITH CUTLERY RETROSPOT,1117,7191,18115.87
130,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,1114,10540,14338.18
131,21535,RED RETROSPOT SMALL MILK JUG,1111,6811,16926.25
132,85150,LADIES & GENTLEMEN METAL SIGN,1110,8519,20668.23
133,84997B,RED 3 PIECE MINI DOTS CUTLERY SET,1104,9927,39521.38
134,22417,PACK OF 60 SPACEBOY CAKE CASES,1103,21641,11258.890000000001
135,22029,SPACEBOY BIRTHDAY CARD,1101,17895,7405.97
136,22381,TOY TIDY PINK POLKADOT,1100,9449,19974.77
137,23209,LUNCH BAG VINTAGE DOILY,1098,13189,21450.17
138,22467,GUMBALL COAT RACK,1095,12298,29139.100000000002
139,22553,PLASTERS IN TIN SKULLS,1090,8084,13529.259999999998
140,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,1086,17706,15779.529999999999
141,22585,PACK OF 6 BIRDY GIFT TAGS,1084,18333,22903.920000000002
142,22866,HAND WARMER SCOTTY DOG DESIGN,1083,13772,30426.54
143,22659,LUNCH BOX I LOVE LONDON,1075,16869,31203.02
144,22993,SET OF 4 PANTRY JELLY MOULDS,1073,12672,16507.23
145,21314,SMALL GLASS HEART TRINKET POT,1066,11658,25276.95
146,22867,HAND WARMER BIRD DESIGN,1054,13453,29541.020000000004
147,20711,JUMBO BAG TOYS,1052,12838,26186.9
148,21481,FAWN BLUE HOT WATER BOTTLE,1050,8557,26988.98
149,21936,RED RETROSPOT PICNIC BAG,1046,7833,22847.59
