date,NORTHfield,BANCOR,PETRAX,SHOPwell,MEDIQ,GRIDCO
2021-04-05,109.3662,101.9642,118.5668,102.8528,111.1781,108.4889
2021-04-06,106.8663,102.321,117.7452,104.1732,109.4615,108.4486
2021-04-07,107.413,103.688,117.7746,104.8467,107.3938,108.2071
2021-04-08,108.0773,104.97,118.0893,108.1905,110.2161,108.984
2021-04-09,104.8904,102.4723,114.1114,107.0037,109.1347,106.1745
2021-04-12,104.6383,104.0341,114.0311,106.1587,111.826,106.8657
2021-04-13,104.0581,104.2658,113.9739,105.3028,113.1956,107.7905
2021-04-14,105.2164,104.4599,116.849,106.2017,114.3904,108.9291
2021-04-15,106.3448,106.5658,119.2577,105.2458,113.7358,110.7178
2021-04-16,105.9523,106.8883,117.5116,106.2369,113.2237,111.8514
2021-04-19,105.2943,107.9029,119.1589,105.2433,114.7999,111.6079
2021-04-20,104.2585,108.4176,117.7171,103.8557,114.0615,110.7928
2021-04-21,105.6905,109.4324,118.6266,104.7883,115.2449,112.7175
2021-04-22,106.9076,109.2194,120.6503,105.4618,115.4142,114.2957
2021-04-23,106.3954,108.613,116.1337,102.889,115.0323,113.1922
2021-04-26,107.1396,107.6555,114.4368,103.8525,116.6954,113.4638
2021-04-27,108.8205,109.8652,118.227,104.3152,117.7556,115.0532
2021-04-28,108.3048,110.2391,114.9952,102.7654,117.9305,113.2091
2021-04-29,106.8547,109.8854,110.9226,101.636,116.0774,112.4342
2021-04-30,106.5573,110.0331,109.8064,101.5146,115.1931,112.7814
2021-05-03,108.9075,110.8416,111.3387,101.6004,116.7465,112.7735
2021-05-04,107.8547,111.1991,111.4908,102.5009,118.6676,112.6058
2021-05-05,108.0807,113.1759,114.3661,104.1188,121.3706,113.1769
2021-05-06,109.003,114.976,118.8385,104.2765,122.1026,114.3542
2021-05-07,108.6585,114.4787,119.9352,103.6485,119.6726,114.3218
2021-05-10,108.1304,113.5653,116.1048,104.1844,116.2241,112.3171
2021-05-11,107.8066,114.8546,119.2798,103.0152,116.455,111.6534
2021-05-12,109.2409,113.6171,118.9861,104.9013,116.3008,112.5364
2021-05-13,108.1015,113.7564,120.4258,104.2402,118.0406,113.1019
2021-05-14,105.9446,117.6219,122.7382,103.9983,117.0103,114.2785
2021-05-17,105.3827,118.2246,123.6064,106.2509,117.5995,115.0236
2021-05-18,105.9288,118.2252,123.4499,108.0126,118.8704,114.7279
2021-05-19,104.5029,117.7876,125.22,107.2188,120.9701,114.0991
2021-05-20,104.7394,115.0565,122.7825,106.2982,120.7476,114.4443
2021-05-21,104.8355,116.7243,125.0513,108.1296,120.9733,116.2684
2021-05-24,103.4771,116.9373,122.5424,106.4709,118.5005,115.5041
2021-05-25,103.9854,117.02,119.9382,108.516,118.9891,116.377
2021-05-26,105.0692,116.5864,116.1637,107.5365,120.1285,115.3411
2021-05-27,106.2056,116.2239,117.2644,105.8355,121.6876,115.3442
2021-05-28,107.4487,116.7843,119.6653,106.7141,123.3589,114.6668
2021-05-31,106.0461,117.254,119.2663,105.6608,122.8767,115.0402
2021-06-01,105.3064,117.6555,117.2736,104.6084,123.8446,115.9046
2021-06-02,103.9103,118.2515,114.8936,104.6453,121.0034,114.8408
2021-06-03,103.2953,117.9169,117.4316,105.63,123.3571,115.9799
2021-06-04,102.9768,117.5508,119.3848,105.6073,123.2612,114.8816
2021-06-07,102.8878,114.4365,117.049,103.5879,123.0117,113.3266
2021-06-08,102.5109,115.8485,115.3979,103.8656,120.6231,113.6033
2021-06-09,103.0912,116.9911,114.3177,104.7075,121.3584,114.0214
2021-06-10,103.3355,117.603,115.4914,103.773,120.0013,116.1188
2021-06-11,105.9158,116.7512,117.055,106.069,121.6265,116.403
2021-06-14,104.736,116.256,115.4078,105.3428,120.7527,115.9149
2021-06-15,106.1392,118.0387,114.3318,105.7477,120.2299,117.4713
2021-06-16,106.1104,119.7099,114.0772,106.0146,118.8415,118.9576
2021-06-17,105.677,117.9194,112.023,102.3469,117.7433,118.1126
2021-06-18,106.1118,119.7712,112.3644,103.9402,118.8202,118.7438
2021-06-21,103.4206,120.1474,110.5569,102.3445,116.5376,118.6155
2021-06-22,103.6108,120.2575,110.4273,103.7946,117.9827,119.4272
2021-06-23,108.0894,120.8093,111.5517,105.2138,119.5729,119.5389
2021-06-24,104.5263,118.4741,109.4936,103.9525,116.2713,117.7162
2021-06-25,104.3927,117.6336,110.1473,103.8103,116.5669,116.916
2021-06-28,106.484,118.2171,113.7127,104.8487,118.2611,117.02
2021-06-29,105.266,117.118,112.7311,103.6202,119.6189,115.694
2021-06-30,103.8793,118.6928,114.0951,100.8405,120.2496,116.2784
2021-07-01,101.1585,117.5434,112.5601,99.9137,120.6,115.7559
2021-07-02,102.533,117.7816,111.5143,99.4864,121.4022,114.3615
2021-07-05,103.4616,116.81,110.7801,100.4153,122.9865,112.7322
2021-07-06,102.4648,116.6163,109.1999,100.759,119.9265,112.6418
2021-07-07,103.0652,116.8575,111.6747,99.8317,121.7166,112.4059
2021-07-08,104.0612,116.7854,113.6469,101.517,120.3737,112.4051
2021-07-09,103.9896,116.5217,112.0319,103.6373,120.662,113.5703
2021-07-12,103.2958,115.1752,111.4878,102.2657,123.2246,113.3931
2021-07-13,104.8566,115.3637,111.5256,103.1462,124.0966,114.3056
2021-07-14,104.7453,114.6038,109.1206,102.65,124.3481,114.3041
2021-07-15,104.7716,113.9731,109.1678,103.2953,124.2654,114.2267
2021-07-16,104.623,114.9637,108.7022,103.5699,124.992,115.147
2021-07-19,106.6642,116.2729,111.1488,103.2776,126.693,117.7262
2021-07-20,105.6049,114.8853,109.7949,103.6444,126.8458,116.8076
2021-07-21,105.6073,116.0595,111.6065,107.165,129.186,117.8822
2021-07-22,106.4791,115.9214,109.9821,107.7272,129.8527,116.7663
2021-07-23,105.831,115.3636,110.0501,106.9229,130.1872,116.6252
2021-07-26,107.3054,113.8804,113.2222,109.7216,130.8943,117.0752
2021-07-27,108.18,113.3183,113.6438,111.2395,131.5854,117.921
2021-07-28,108.3611,113.4736,112.2728,110.748,130.783,119.231
2021-07-29,108.7418,112.5047,112.7965,110.5898,126.4211,119.0531
2021-07-30,106.686,112.6368,110.2537,107.2273,126.1515,117.4903
2021-08-02,106.1378,112.7405,111.3076,108.0176,126.2908,116.9309
2021-08-03,108.7936,112.774,115.9056,109.3844,129.0307,118.4148
2021-08-04,107.421,112.8373,116.9836,109.6458,128.7512,118.655
2021-08-05,106.9391,111.4742,118.2307,108.4872,130.3285,118.7738
2021-08-06,105.7935,111.0355,117.0194,106.4894,130.3932,118.0382
2021-08-09,108.0423,112.5466,116.7679,108.0003,130.9389,117.5101
2021-08-10,109.3695,113.9343,119.8344,108.6621,133.4723,118.2102
2021-08-11,110.7184,116.3012,121.7375,108.0981,133.9532,119.6774
2021-08-12,112.4867,115.5007,121.6539,109.2581,134.8087,120.3679
2021-08-13,111.2035,114.7371,122.9993,109.0563,135.253,121.0585
2021-08-16,111.4024,115.3927,122.7198,107.463,133.3414,121.1461
2021-08-17,111.1756,114.6347,122.9876,106.0648,133.1669,120.8059
2021-08-18,110.0576,111.8792,124.4328,105.5218,128.6942,119.2194
2021-08-19,110.6577,111.8014,125.9248,104.6989,129.0912,119.2411
2021-08-20,110.4554,111.5364,126.1773,105.7768,128.4408,118.8352
2021-08-23,110.7318,111.4959,127.1438,106.9455,130.5537,118.9842
2021-08-24,107.6511,110.6906,126.3153,104.7869,129.3644,116.386
2021-08-25,108.3939,110.5498,123.256,103.81,127.787,116.5922
2021-08-26,109.2156,112.3967,125.9105,103.0596,126.613,118.1676
2021-08-27,111.4458,112.7071,128.2169,102.5776,124.552,117.3884
2021-08-30,110.9983,112.0568,127.2239,101.5441,125.0495,118.2458
2021-08-31,111.1018,114.3129,126.967,101.2904,126.0634,118.7664
2021-09-01,112.8154,114.0504,130.5285,102.6618,130.3857,118.9056
2021-09-02,112.5812,114.1752,125.6182,102.9459,130.5732,118.849
2021-09-03,110.4644,112.0003,125.0612,102.9183,131.979,117.3658
2021-09-06,109.0911,111.3943,120.0163,100.9455,132.0235,118.0971
2021-09-07,109.5276,113.2956,121.9607,101.8874,132.6752,119.0911
2021-09-08,109.2284,113.0897,120.3632,101.893,132.4336,117.7309
2021-09-09,108.9496,112.1158,115.5979,101.7983,133.8285,119.1813
2021-09-10,111.1684,111.7418,118.6793,104.6183,131.9632,120.0457
2021-09-13,112.1036,112.1636,119.8423,105.3713,134.8193,120.1915
2021-09-14,111.8749,112.1381,120.3454,103.0252,136.5978,120.3861
2021-09-15,112.7336,112.5791,120.4939,103.1139,137.0277,120.7532
2021-09-16,114.4409,113.3843,121.2317,106.7883,136.1719,120.1773
2021-09-17,115.0081,113.3091,117.7023,106.3667,134.7214,120.8453
2021-09-20,114.1658,114.2797,118.8103,105.9122,134.9687,121.5364
2021-09-21,110.9466,113.8772,116.7004,106.2765,133.2097,121.9859
2021-09-22,107.5376,113.9381,116.0522,104.032,132.2064,121.4007
2021-09-23,108.1637,113.9717,112.7279,103.857,135.1207,121.5146
2021-09-24,108.6124,113.6273,113.1046,104.3119,134.8516,122.1718
2021-09-27,107.4077,113.2035,113.5057,103.2751,132.7323,122.261
2021-09-28,106.1374,112.4179,111.0915,102.0954,131.2989,121.2592
2021-09-29,107.1029,114.61,111.6906,103.7083,131.7597,122.2909
2021-09-30,108.6873,115.0924,110.8842,103.6573,131.1363,122.456
2021-10-01,109.9209,113.9285,108.8487,102.7775,128.2306,122.9033
2021-10-04,109.9228,116.0526,107.0325,104.6141,127.7533,123.2541
2021-10-05,108.6134,114.6893,103.6283,103.6326,124.9201,122.0986
2021-10-06,108.6525,115.4589,104.1413,104.244,125.9578,122.4835
2021-10-07,109.2031,114.5372,102.5742,106.713,125.9195,121.6518
2021-10-08,111.1711,114.878,102.194,105.9244,127.2125,121.0131
2021-10-11,110.4712,115.4387,102.5319,105.5588,126.9687,122.1047
2021-10-12,113.6735,115.6437,104.6866,110.1433,129.8189,122.3111
2021-10-13,113.1122,114.8662,102.5628,108.6451,129.4827,121.3327
2021-10-14,114.4223,115.3429,102.4573,110.6409,130.4659,121.9433
2021-10-15,115.9866,116.3813,103.1592,113.0625,131.7636,125.0848
2021-10-18,117.6593,118.1067,106.7406,114.791,135.0142,126.2847
2021-10-19,116.4891,117.209,107.0248,111.8371,134.6528,125.153
2021-10-20,117.604,116.6599,110.7557,113.8013,133.5895,126.7621
2021-10-21,117.3236,115.8026,108.3655,114.0546,135.2718,125.9595
2021-10-22,115.9134,114.2306,110.1472,115.5235,134.6224,125.9239
2021-10-25,115.9643,114.198,112.0466,116.3716,135.4761,125.8648
2021-10-26,117.2179,114.205,112.5838,117.4671,134.1151,125.6713
2021-10-27,116.8127,114.2431,110.3107,115.3151,135.9142,126.5722
2021-10-28,118.1848,116.6139,112.5896,116.6238,137.8791,126.1635
2021-10-29,116.6165,117.1141,112.36,113.9947,138.4382,127.0256
2021-11-01,117.6579,117.3527,111.181,114.6581,139.23,126.8829
2021-11-02,118.6117,117.9589,112.4138,112.567,141.088,128.7436
2021-11-03,118.068,116.1899,112.7783,111.3617,139.029,128.9999
2021-11-04,116.0833,116.5415,109.8522,112.0711,139.3213,128.6945
2021-11-05,116.3574,117.2844,111.879,113.7078,140.8786,128.8454
2021-11-08,117.3909,116.0833,113.7265,115.4931,143.3774,128.3151
2021-11-09,117.7226,117.147,114.9451,115.3851,144.35,128.8927
2021-11-10,119.2655,116.8282,116.0356,116.7222,146.0291,129.0337
2021-11-11,119.5139,116.8292,116.2075,116.8938,145.617,131.5613
2021-11-12,118.3062,115.2595,113.5464,114.6679,144.4322,131.9014
2021-11-15,120.9073,116.1496,109.8818,116.4546,142.7258,131.7007
2021-11-16,119.2253,116.2568,108.2153,116.4792,143.0378,131.3691
2021-11-17,119.4032,117.3513,108.0209,118.0851,143.4992,132.1163
2021-11-18,120.6691,119.1875,110.1659,119.4506,145.7719,131.7821
2021-11-19,123.2454,118.299,112.4011,120.1415,147.1547,131.7535
2021-11-22,123.7766,117.5355,108.096,120.4508,145.5212,130.615
2021-11-23,122.7091,119.5737,107.491,120.651,144.0155,132.5293
2021-11-24,121.9101,116.4606,111.2146,118.4111,145.4623,132.244
2021-11-25,122.9745,116.4667,111.9409,120.8924,145.5705,132.7006
2021-11-26,124.4804,116.9236,111.7856,124.012,146.8183,133.0561
2021-11-29,123.3282,115.5626,112.633,124.6352,143.112,131.7836
2021-11-30,124.8961,118.6699,118.8505,128.2847,147.5814,133.2911
2021-12-01,126.1809,117.5776,117.6497,129.2119,150.9574,133.8535
2021-12-02,126.6772,117.5187,115.1016,130.1859,150.2206,133.9469
2021-12-03,125.3255,117.3758,111.5835,129.7802,151.6123,134.5503
2021-12-06,128.7692,118.5339,114.1403,133.1821,151.7583,137.4641
2021-12-07,130.4452,118.6479,112.9158,135.0252,153.5,137.8579
2021-12-08,130.8136,118.5364,112.9927,137.478,156.1897,136.7171
2021-12-09,131.1051,117.2571,109.9612,138.0213,154.0969,133.0956
2021-12-10,132.2381,118.9798,115.0467,139.0009,158.0748,131.9565
2021-12-13,130.5733,119.2349,115.62,140.3856,159.8193,132.0851
2021-12-14,133.1768,120.6177,120.5918,141.4531,161.9916,132.7444
2021-12-15,134.6,120.694,120.555,140.0251,162.6172,133.844
2021-12-16,136.3855,117.6383,116.4335,143.4712,161.5012,132.5795
2021-12-17,138.4686,118.3132,116.0597,144.4581,165.4338,131.9277
2021-12-20,140.8244,118.4597,116.2661,149.3139,165.2661,133.0399
2021-12-21,140.2485,116.7473,115.0549,150.5808,164.339,132.8349
2021-12-22,140.649,116.9023,114.412,151.0314,160.8303,132.2891
2021-12-23,137.5539,116.604,114.1346,147.5625,161.3198,132.2848
2021-12-24,138.1294,116.3384,115.1561,149.9224,160.611,131.5883
2021-12-27,140.2809,114.2185,109.7199,146.7376,159.4583,130.5952
2021-12-28,141.2284,114.5088,113.1241,150.7113,162.6905,130.2379
2021-12-29,141.9444,113.7188,112.0132,148.9297,162.2346,130.3269
2021-12-30,142.1529,112.4826,108.6124,146.9365,159.8112,130.1931
2021-12-31,141.6497,112.2048,108.0824,148.5023,162.6311,130.6482
2022-01-03,141.2745,113.6776,109.4497,148.0408,165.0092,131.5612
2022-01-04,138.8111,113.9049,109.4709,143.2977,160.4324,131.2151
2022-01-05,140.078,114.8455,107.6244,143.4132,161.7832,130.2348
2022-01-06,140.2954,115.1463,109.5826,139.5757,162.0569,132.1441
2022-01-07,139.2679,114.6164,110.9447,137.7405,163.8308,132.5021
2022-01-10,136.5983,114.2175,107.2744,137.301,159.7693,130.157
2022-01-11,134.7191,112.9845,108.7578,136.1015,159.7752,130.6156
2022-01-12,133.6035,112.1555,106.5221,136.3201,161.9063,130.504
2022-01-13,132.6216,111.4198,103.9176,136.489,159.3078,129.6747
2022-01-14,130.745,109.0508,98.0004,132.634,157.2713,127.8159
2022-01-17,130.4393,107.8934,95.9052,130.2042,156.6069,128.904
2022-01-18,130.2774,106.4709,97.4823,128.4172,157.1915,128.0294
2022-01-19,130.4727,110.1043,97.6856,128.4073,159.0073,129.5169
2022-01-20,129.8687,109.2772,98.239,129.6762,157.3205,128.1738
2022-01-21,132.9609,108.4213,99.9682,132.189,156.2631,128.8221
2022-01-24,131.1881,106.9669,96.5583,131.7709,154.2139,128.8028
2022-01-25,129.9177,107.3705,98.8156,131.2843,152.6334,128.6204
2022-01-26,132.054,108.5812,99.2003,130.0137,154.4171,130.7182
2022-01-27,134.8897,109.6124,100.0223,130.6681,154.3932,129.863
2022-01-28,138.6325,110.3274,105.6006,133.4689,153.6673,132.3842
2022-01-31,137.2042,109.6121,108.0227,135.2272,150.5336,132.0644
2022-02-01,135.3981,109.8531,111.1246,133.7721,153.1446,131.5132
2022-02-02,139.2211,109.7363,111.259,136.4165,151.6522,133.0842
2022-02-03,137.4223,110.0631,108.4395,135.3283,150.9678,132.5358
2022-02-04,138.3378,109.0822,111.2157,136.2993,146.8486,133.9628
2022-02-07,139.1954,110.9094,111.9278,133.5064,146.6083,133.5049
2022-02-08,139.1942,110.4168,112.1402,130.5556,146.2844,132.7725
2022-02-09,140.3764,108.8764,110.9746,133.4297,144.3292,132.8437
2022-02-10,142.8173,109.3382,113.8178,136.9381,148.0545,133.3527
2022-02-11,142.6833,110.1831,112.6949,137.0093,147.0236,131.4489
2022-02-14,143.3549,112.1493,113.0235,138.0047,147.0927,131.6224
2022-02-15,143.6693,113.3936,118.1737,140.4784,146.9305,131.178
2022-02-16,146.1239,114.2248,117.9936,140.1826,146.1327,132.6425
2022-02-17,146.1524,112.7239,119.1567,140.5361,145.4969,132.6769
2022-02-18,144.7051,113.5239,116.1892,138.0337,142.7468,132.1063
2022-02-21,143.399,112.9045,115.5793,138.0569,142.6005,132.0114
2022-02-22,146.3967,113.1979,113.6154,141.1891,145.9867,132.6793
2022-02-23,148.0238,112.807,114.2701,143.2008,147.0022,132.3061
2022-02-24,151.1683,113.5879,117.3665,146.2261,149.7601,134.0512
2022-02-25,150.8289,114.4623,122.2292,150.4816,152.3347,136.5097
2022-02-28,148.4345,115.6715,122.2878,146.147,152.2253,137.6066
2022-03-01,147.2086,117.6343,125.79,144.0173,154.5478,138.6431
2022-03-02,146.2586,117.1172,124.3151,141.0794,153.0492,138.7772
2022-03-03,148.9808,119.3206,124.8821,142.9202,152.8459,140.8168
2022-03-04,145.9887,117.2173,121.7119,140.9058,150.7752,139.538
2022-03-07,146.1457,117.5334,119.7262,140.2538,151.5063,139.8575
2022-03-08,148.2433,117.1154,122.0773,144.1658,152.187,140.3926
2022-03-09,148.7353,117.8364,123.3987,147.401,153.8362,141.8419
2022-03-10,149.429,116.8148,124.0922,147.2282,152.6933,140.5841
2022-03-11,149.3676,116.1454,128.2951,150.4508,152.9751,141.3751
2022-03-14,151.633,116.3945,133.3596,154.1279,154.1965,140.326
2022-03-15,149.8702,116.4469,131.8504,152.9081,152.3971,140.2709
2022-03-16,149.0783,114.5976,129.9401,150.7278,148.8404,140.4773
2022-03-17,149.0064,114.2468,131.4861,150.6255,150.1876,139.0944
2022-03-18,147.143,114.5229,134.5476,150.0004,150.7248,138.4974
2022-03-21,147.1576,113.7695,133.8132,151.0948,147.3389,138.1997
2022-03-22,145.7429,112.8242,135.5871,150.7772,148.6161,136.28
2022-03-23,145.0606,112.2283,133.6893,150.8451,149.6193,134.9842
2022-03-24,143.3802,110.597,135.0222,148.6459,148.7635,133.9062
2022-03-25,141.7174,110.7056,135.4637,149.4567,148.3784,133.6314
2022-03-28,140.7428,112.1367,138.3387,149.4453,150.0598,133.8386
2022-03-29,144.5021,112.2299,138.752,151.0987,153.6091,134.5002
2022-03-30,146.5597,112.5138,136.6684,153.642,152.9363,133.4637
2022-03-31,145.8629,113.0916,141.0663,151.2293,149.7057,134.4068
2022-04-01,146.4851,112.6171,142.0788,152.9619,153.1066,134.4692
2022-04-04,148.9371,112.5983,141.638,155.1865,151.7568,133.368
2022-04-05,150.8272,110.8492,141.601,155.2484,150.9155,131.5444
2022-04-06,147.0777,109.5046,136.8299,151.3915,149.3113,129.7773
2022-04-07,145.1728,109.4884,134.4184,148.2434,148.0119,129.6464
2022-04-08,149.1524,111.9458,134.0108,148.6777,149.293,131.3258
2022-04-11,148.9761,114.2981,138.0084,152.6191,150.1267,131.7609
2022-04-12,147.0507,113.8391,134.1766,149.7941,148.3575,131.9801
2022-04-13,146.2469,112.1832,132.0564,149.0511,148.4083,130.3969
2022-04-14,147.5148,113.9468,134.5199,150.9295,148.8245,130.7676
2022-04-15,143.8584,113.9483,132.5523,148.8468,148.7596,129.745
2022-04-18,145.7829,114.4587,136.9929,150.9023,150.4195,130.1541
2022-04-19,148.5908,112.7035,135.7288,151.4338,147.7426,128.7461
2022-04-20,144.6484,112.2052,130.9667,149.1688,145.9453,127.2716
2022-04-21,141.9119,110.9824,130.2165,146.9479,146.0477,125.9295
2022-04-22,144.8815,111.3019,129.4046,151.1159,149.0107,126.3996
2022-04-25,144.0688,112.1501,127.5816,152.3813,146.8333,126.433
2022-04-26,144.1587,113.4992,124.2405,152.8208,146.6516,126.7787
2022-04-27,142.6298,111.8224,122.0124,150.7719,147.902,126.1188
2022-04-28,142.6901,112.6088,119.0075,151.9893,149.3363,127.182
2022-04-29,142.1604,111.2013,116.203,151.4392,149.3347,127.6102
2022-05-02,144.9806,112.6883,117.7591,154.2268,150.229,129.4434
2022-05-03,146.1398,113.1602,115.7392,156.806,148.0211,130.6191
2022-05-04,148.0344,111.8131,115.5757,155.2158,147.5057,130.6133
2022-05-05,147.8502,110.3447,115.412,155.2139,147.0418,129.1034
2022-05-06,147.2702,110.5468,115.0514,158.9603,147.7621,129.1341
2022-05-09,148.2389,109.5714,115.7408,162.6089,146.6554,129.1727
2022-05-10,149.7498,108.0853,118.85,161.4821,146.2372,129.1138
2022-05-11,149.3828,108.8798,119.4607,162.692,146.7468,130.8173
2022-05-12,145.7066,108.631,117.7141,158.214,144.3415,129.6646
2022-05-13,146.8422,107.9206,117.3785,159.2316,142.5557,130.3417
2022-05-16,151.4634,108.0446,120.6523,161.9346,144.6521,130.8306
2022-05-17,155.8115,108.4631,123.7754,166.3504,144.3767,129.543
2022-05-18,157.0272,109.5726,123.5081,166.0691,146.3182,130.8833
2022-05-19,159.0053,110.2001,122.6633,164.8382,143.3816,130.8869
2022-05-20,162.9744,111.386,124.135,164.591,143.2704,131.5632
2022-05-23,162.5962,112.322,124.1589,166.0459,143.45,131.7963
2022-05-24,165.2748,111.9725,124.0971,164.8623,143.7031,132.7219
2022-05-25,166.7792,113.0327,127.3461,167.7103,146.0112,133.9619
2022-05-26,164.8207,113.3061,129.1037,165.0517,146.2557,134.9975
2022-05-27,164.1251,111.7839,128.3214,167.4157,144.4746,134.2267
2022-05-30,162.6569,111.1801,128.1705,169.4355,143.2189,133.2732
2022-05-31,160.9553,109.7608,123.6432,165.7015,141.6453,132.2602
2022-06-01,163.4283,109.3174,122.4135,165.3279,141.9246,132.0027
2022-06-02,165.115,108.7796,124.5869,168.3881,142.1093,131.5311
2022-06-03,165.5712,108.0472,128.7844,169.2865,143.8027,130.4806
2022-06-06,162.0362,108.2224,129.0989,165.737,142.3543,129.6148
2022-06-07,162.5794,109.2967,126.352,166.995,141.1515,129.4162
2022-06-08,162.3284,107.856,132.0051,172.229,143.0391,129.9981
2022-06-09,160.2843,110.0358,132.6338,171.4249,145.3201,131.1353
2022-06-10,158.7993,109.5805,131.1232,170.3375,145.6558,131.3048
2022-06-13,161.5009,110.0418,134.3918,176.2062,145.0516,132.5378
2022-06-14,159.4096,108.1408,136.5462,177.0788,145.4765,131.4497
2022-06-15,162.5355,107.2478,137.1587,179.9482,147.9496,130.1504
2022-06-16,156.4549,106.4092,135.6761,176.0057,145.1698,129.1865
2022-06-17,153.5215,106.3766,136.9208,172.6898,141.6095,128.6657
2022-06-20,153.211,106.263,139.9471,173.1207,145.1831,129.3244
2022-06-21,151.1987,107.1077,139.587,170.9886,145.4277,129.6062
